"latitude","longitude","year","month","frp","daynight"
-34.3684,145.9155,"2017","01",519.6,"D"
-34.3749,145.8911,"2017","01",760.9,"D"
-36.7274,140.1882,"2017","01",1377.6,"D"
-36.7334,140.1935,"2017","01",1023.3,"D"
-32.5371,149.2006,"2017","01",602.1,"D"
-32.5355,149.1918,"2017","01",536.4,"D"
-35.1597,149.6165,"2017","01",796.3,"D"
-35.1512,149.6107,"2017","01",551.9,"D"
-34.4796,144.706,"2017","01",634.1,"D"
-34.3882,115.9133,"2017","01",1251,"D"
-34.3959,115.9263,"2017","01",721.3,"D"
-34.3974,115.915,"2017","01",584.4,"D"
-34.3867,115.9245,"2017","01",619.7,"D"
-34.3897,115.902,"2017","01",1215.1,"D"
-33.5335,115.7568,"2017","01",597.1,"D"
-29.6776,153.2808,"2017","01",578.5,"D"
-33.0111,146.4748,"2017","02",932.1,"D"
-32.0505,149.7321,"2017","02",1289.4,"D"
-32.1102,149.6623,"2017","02",555.1,"D"
-32.0414,149.6407,"2017","02",1256.4,"D"
-32.0861,149.8121,"2017","02",1952.2,"D"
-32.088,149.8005,"2017","02",1836.6,"D"
-32.058,149.6861,"2017","02",608.8,"D"
-32.0561,149.6976,"2017","02",1095.7,"D"
-32.0509,149.7025,"2017","02",983.2,"D"
-32.0491,149.7141,"2017","02",717.5,"D"
-32.0527,149.691,"2017","02",1048.2,"D"
-32.0805,149.7868,"2017","02",1067.5,"D"
-32.0823,149.7752,"2017","02",821.5,"D"
-32.0416,149.7003,"2017","02",1814.4,"D"
-32.0396,149.6521,"2017","02",1178,"D"
-32.1046,149.6373,"2017","02",1798.8,"D"
-32.0432,149.6294,"2017","02",1193.3,"D"
-32.0786,149.7984,"2017","02",1867,"D"
-32.034,149.6868,"2017","02",762.3,"D"
-32.0542,149.7091,"2017","02",643.3,"D"
-32.0377,149.6637,"2017","02",566.7,"D"
-32.0842,149.8237,"2017","02",1162.2,"D"
-32.0842,149.7636,"2017","02",570.7,"D"
-32.0434,149.6889,"2017","02",1839.6,"D"
-32.0321,149.6385,"2017","02",545.1,"D"
-32.0339,149.6272,"2017","02",536.2,"D"
-32.0359,149.6754,"2017","02",779.7,"D"
-32.0397,149.7119,"2017","02",862.9,"D"
-32.1064,149.6258,"2017","02",568.8,"D"
-32.1027,149.6487,"2017","02",832.5,"D"
-32.0524,149.7206,"2017","02",757,"D"
-32.0452,149.6775,"2017","02",1229.1,"D"
-32.0472,149.7256,"2017","02",1231.4,"D"
-30.7368,150.0333,"2017","02",734.7,"D"
-21.3135,129.7741,"2017","02",644,"D"
-21.2934,129.8114,"2017","02",566.1,"D"
-21.2899,129.8067,"2017","02",589.3,"D"
-21.1288,129.3602,"2017","02",601.6,"D"
-21.3646,129.7859,"2017","02",705,"D"
-21.1686,129.4154,"2017","02",866.9,"D"
-21.1641,129.4291,"2017","02",1072.3,"D"
-21.1662,129.4102,"2017","02",641.8,"D"
-21.1666,129.4342,"2017","02",803.1,"D"
-22.546,130.7469,"2017","02",796.6,"D"
-22.5435,130.6931,"2017","02",924.1,"D"
-22.5404,130.7102,"2017","02",1881.1,"D"
-22.5374,130.7272,"2017","02",996.9,"D"
-22.5343,130.7444,"2017","02",615.7,"D"
-21.3506,124.8818,"2017","02",510.2,"D"
-27.7167,147.461,"2017","02",564.7,"D"
-19.9623,127.1634,"2017","02",1079.8,"D"
-19.9586,127.2081,"2017","02",1081.4,"D"
-19.9593,127.2009,"2017","02",1356.7,"D"
-19.9633,127.1562,"2017","02",667.6,"D"
-32.7701,146.3234,"2017","02",580.4,"D"
-32.7709,146.3206,"2017","02",522.1,"D"
-25.6538,152.7712,"2017","03",840.8,"D"
-31.012,120.1087,"2017","03",551.9,"D"
-31.0062,120.1149,"2017","03",592.5,"D"
-22.5658,113.7901,"2017","03",594.4,"D"
-22.5603,113.7974,"2017","03",688.5,"D"
-33.3822,147.1051,"2017","03",661.1,"D"
-32.4855,146.7264,"2017","03",509,"D"
-22.6895,113.8016,"2017","03",534.1,"N"
-30.9203,116.6466,"2017","03",573.7,"D"
-37.2253,147.9363,"2017","03",503,"D"
-32.6824,146.5883,"2017","03",743.2,"D"
-32.6789,146.5928,"2017","03",887.3,"D"
-30.9248,149.9362,"2017","03",551.5,"D"
-32.7682,117.6044,"2017","03",508.2,"D"
-33.5953,140.865,"2017","03",928.6,"D"
-33.5899,140.8986,"2017","03",712,"D"
-33.5978,140.9032,"2017","03",763.1,"D"
-33.5877,140.8603,"2017","03",539.2,"D"
-22.8631,126.1286,"2017","03",1241.7,"D"
-22.8599,126.1215,"2017","03",793.5,"D"
-20.0422,124.845,"2017","03",567.6,"D"
-25.2684,129.2395,"2017","03",540.6,"D"
-33.9031,135.9203,"2017","03",542.8,"D"
-23.737,133.6642,"2017","03",565.9,"D"
-31.9311,118.0556,"2017","03",576.3,"D"
-31.5812,118.955,"2017","03",756.6,"D"
-23.6961,133.6148,"2017","03",690.7,"D"
-19.9185,135.7164,"2017","03",582.6,"D"
-19.9063,135.7065,"2017","03",690.6,"D"
-19.9153,135.7296,"2017","03",565.9,"D"
-19.9026,135.727,"2017","03",618.9,"D"
-19.9392,135.6481,"2017","03",1816.2,"D"
-19.9257,135.6466,"2017","03",530.1,"D"
-19.8857,135.7502,"2017","03",534.1,"D"
-32.3237,117.5909,"2017","03",789,"D"
-30.8537,116.7545,"2017","03",549.7,"D"
-22.217,131.8879,"2017","03",522,"D"
-22.2113,131.8814,"2017","03",554.2,"D"
-42.4561,146.4477,"2017","03",630.7,"D"
-19.2458,125.103,"2017","03",517,"D"
-19.2391,125.0947,"2017","03",691.7,"D"
-38.0133,143.9271,"2017","03",1044.9,"D"
-37.6287,143.4233,"2017","03",663.3,"D"
-37.8302,143.6079,"2017","03",544,"D"
-28.5403,148.2736,"2017","03",927,"D"
-28.5457,148.2675,"2017","03",1015.7,"D"
-28.5536,148.2772,"2017","03",989.3,"D"
-33.4887,118.7805,"2017","03",852.4,"D"
-33.4909,118.7869,"2017","03",981.9,"D"
-34.5103,146.8339,"2017","03",500.3,"D"
-30.2816,148.895,"2017","03",579.2,"D"
-33.5159,146.4437,"2017","03",608.6,"D"
-35.2654,148.5787,"2017","03",772.1,"D"
-32.6206,145.9926,"2017","03",684.2,"D"
-37.3823,145.8951,"2017","04",577.7,"D"
-37.796,145.972,"2017","04",626.7,"D"
-35.0331,146.5877,"2017","04",572.2,"D"
-35.0375,146.5776,"2017","04",519.5,"D"
-34.2419,146.5741,"2017","04",645.2,"D"
-34.3648,137.625,"2017","04",588.6,"D"
-34.3732,137.6359,"2017","04",1337.1,"D"
-32.3048,134.2524,"2017","04",557.1,"D"
-17.7621,134.3769,"2017","04",682,"D"
-17.7159,134.3955,"2017","04",886.2,"D"
-32.1255,117.0508,"2017","04",634.8,"D"
-33.7792,122.1951,"2017","04",615.4,"D"
-43.306,146.8825,"2017","04",2262.9,"D"
-43.2948,146.8857,"2017","04",5300.2,"D"
-43.2918,146.8811,"2017","04",3894,"D"
-43.1576,147.7856,"2017","04",610.2,"D"
-34.3477,147.8066,"2017","04",574.8,"D"
-34.3597,147.8084,"2017","04",562,"D"
-37.639,143.3476,"2017","04",673.1,"D"
-37.6391,142.9036,"2017","04",654.8,"D"
-37.6441,142.9136,"2017","04",542.7,"D"
-37.6402,143.3525,"2017","04",613.9,"D"
-33.6571,119.738,"2017","04",591.2,"D"
-33.6581,119.7103,"2017","04",815.2,"D"
-33.656,119.7425,"2017","04",599.1,"D"
-30.8462,116.5059,"2017","04",530.6,"D"
-30.8133,116.3437,"2017","04",578.6,"D"
-37.7801,148.3988,"2017","04",628.1,"D"
-34.574,147.4185,"2017","04",525.5,"D"
